SUBJECT	Coursecode	GRADING_BASIS_ENRL	Gender	AGE	YearSchool	COMP_ACT_SCORE	URM	msl01	msl02	msl03	msl04	msl05	msl06	msl07	msl08	msl09	msl10	msl11	msl12	msl13	msl14	msl15	msl16	msl17	msl18	msl19	msl20	Exams_percent	Course_percent	NonExam_percent	ZExams_percent	ZCourse_percent	ZNonExam_percent
BIOL	1001.1	A-F	0	32	Junior	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.713833333	0.8395	0.965166667	-0.410527127	-0.198192638	0.220120218
BIOL	1001.1	A-F	1	32	Senior	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.841666667	0.9293	1.016933333	0.612127351	0.885502998	0.837054057
BIOL	1001.1	A-F	1	28	Senior	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.656916667	0.7693	0.881683333	-0.865855026	-1.045357825	-0.774799829
BIOL	1001.1	A-F	0	27	Senior	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
BIOL	1001.1	S-N	1	27	Senior	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.695833333	0.8061	0.916366667	-0.55452541	-0.601259835	-0.361458116
BIOL	1001.1	A-F	1	25	Senior	18	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.605583333	0.7789	0.952216667	-1.276516801	-0.929506175	0.065787443
BIOL	1001.1	A-F	1	25	Sophomore	19	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.690333333	0.8583	1.026266667	-0.598524886	0.028683508	0.948284894
BIOL	1001.1	A-F	1	25	Sophomore	23	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.9195	0.9452	0.9709	1.23478659	1.077382293	0.288447723
BIOL	1001.1	A-F	1	25	Sophomore	33	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.888916667	0.7896	0.690283333	0.990122843	-0.800379858	-3.055826328
BIOL	1001.1	A-F	1	24	Freshman	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.530583333	0.7038	0.877016667	-1.876509647	-1.835803974	-0.830415236
